edge,n_iso,n_blocks,has_dupl,n_categories,majority_category,singleton,cat_entropy,n_nodes,min_length,max_length,mean_length,n_all_cores,core_left_length,core_right_length,transitive,nonempty_acc_len,nonempty_freq,tot_acc_len
RTZVEJWRIR_r__UHYGUNDBFL_r,222,3,False,2,162,False,0.5835274717778098,5,13360,14072,13879.567567567568,60,11979.0,1381.0,False,712.0,0.7297297297297297,712
KSXZRIJFEH_r__SIHIJVBWQQ_r,222,3,False,2,221,True,0.028830728559561508,5,8052,46257,8224.094594594595,221,7037.0,1015.0,False,38205.0,0.0045045045045045045,38205
KUDTBWWBJE_f__YSEMYTMKWD_f,222,4,False,2,221,True,0.028830728559561508,6,6802,7060,6803.1621621621625,0,4952.0,1340.0,False,511.1621621621622,1.0,1278
OBEJYXNUDN_r__ZTHKZYHPIX_r,222,7,False,4,151,False,0.8413041839652372,21,11333,30457,12990.585585585586,0,3546.0,5701.0,False,3636.5855855855857,1.0,23876
OURQVJZAZZ_f__UTYAQKFQDH_f,222,4,False,2,201,False,0.31304108587198165,6,2212,2726,2677.3783783783783,0,639.0,806.0,False,1232.3783783783783,1.0,2048
OUOJHXPPLZ_r__WVXKPXNUHD_r,222,3,False,2,221,True,0.028830728559561508,5,34784,37760,34797.40540540541,221,9123.0,25661.0,False,2976.0,0.0045045045045045045,2976
OUOJHXPPLZ_f__XTIATMKKQL_f,222,3,False,2,221,True,0.028830728559561508,5,10835,60150,11057.13963963964,221,9123.0,1712.0,False,49315.0,0.0045045045045045045,49315
OSURYAORCR_r__XXVQEZNBQB_f,222,3,False,2,221,True,0.028830728559561508,5,14246,16776,14257.396396396396,221,6306.0,7940.0,False,2530.0,0.0045045045045045045,2530
OSURYAORCR_f__RVLRLPDSYQ_r,222,5,False,4,219,False,0.08643094570194752,15,11658,12996,11671.027027027027,219,6315.0,5241.0,False,964.0,0.013513513513513514,2115
ORYIQTMOCW_f__QCVLIGSQQB_f,222,3,False,2,221,True,0.028830728559561508,5,4554,5382,4557.72972972973,221,3205.0,1349.0,False,828.0,0.0045045045045045045,828
OLUEEZMVIH_r__PWDSOBLBPO_r,222,5,False,3,220,False,0.057641074676245505,11,20051,23798,20072.707207207208,220,5837.0,14010.0,False,2409.5,0.009009009009009009,4819
OJTZQVKWWG_r__UEAYJKMKRY_r,222,3,False,2,221,True,0.028830728559561508,5,5274,6051,5277.5,221,676.0,4598.0,False,777.0,0.0045045045045045045,777
OHDZQPGPWN_f__YVITOTFSEE_f,222,4,False,3,218,False,0.10035413613342482,11,4460,5275,4474.684684684685,218,2926.0,1316.0,False,815.0,0.018018018018018018,815
OEVZKEMGLO_r__SQNSKWKRZK_r,222,5,False,3,220,False,0.057641074676245505,12,5150,15362,14562.846846846847,0,3308.0,1082.0,False,10172.846846846847,1.0,10972
OEVZKEMGLO_f__UXLELLOQVR_f,222,6,False,4,210,False,0.24088264141908627,16,8225,14703,13909.585585585586,1,3307.0,,False,5710.307692307692,0.9954954954954955,6584
ODKXGAOIUQ_r__RZMPAZJQBO_r,222,3,False,2,220,False,0.051396505482011766,5,25016,25792,25022.99099099099,220,7181.0,17835.0,False,776.0,0.009009009009009009,776
ODKXGAOIUQ_f__YNFGSNJILT_f,222,3,False,2,221,True,0.028830728559561508,5,18179,18956,18182.5,221,7182.0,10997.0,False,777.0,0.0045045045045045045,777
OBEJYXNUDN_f__TJOBMLQRFA_f,222,3,False,2,221,True,0.028830728559561508,5,9861,10638,9864.5,221,3545.0,6316.0,False,777.0,0.0045045045045045045,777
NHYPOXAZSV_r__NNMCFJQNVX_r,222,3,False,2,221,True,0.028830728559561508,5,11168,12367,11173.4009009009,221,4818.0,6350.0,False,1199.0,0.0045045045045045045,1199
NZXBIFMPMA_r__WFHRDCDOMG_r,222,3,False,2,221,True,0.028830728559561508,5,4469,5246,4472.5,221,3764.0,705.0,False,777.0,0.0045045045045045045,777
NXMETPNVGP_r__YOCIMVGHSL_r,222,3,False,2,214,False,0.15513504156545552,5,3318,4087,3345.711711711712,214,2506.0,812.0,False,769.0,0.036036036036036036,769
NXMETPNVGP_f__WYYPRCOBHQ_r,222,6,False,4,219,False,0.08643094570194752,22,4601,15714,14906.31981981982,0,2525.0,861.0,False,11073.31981981982,1.0,11881
